id,text,parent
G04BD04,Oxybutynin,
G04BD10,Darifenacin,
G04BD11,Fesoterodine,
G04BE,Drugs used in erectile dysfunction,
G04BE03,Sildenafil,
G04BE07,Apomorphine,
G04BE08,Tadalafil,
G04BE09,Vardenafil,
G04C,Drugs used in benign prostatic hypertrophy,
G04CA,Alpha-adrenoreceptor antagonists,
G04CA04,Silodosin,
H,Systemic hormonal prep,
H01,Pituitary and hypothalamic hormones,
H01A,Anterior pituitary lobe hormones,
H01AB,Thyrotropin,
H01AB01,Thyrotropin,
H01AC,Somatropin and analogues,
H01AC01,Somatropin,
H01AC03,Mecasermin,
H01AX,Other anterior pituitary lobe hormones and analogues,
H01AX01,Pegvisomant,
H01C,Hypothalamic hormones,
H01CA,Gonadotrophin-releasing hormones,
H01CA03,Histrelin,
H01CB,Antigrowth hormone,
H01CB05,Pasireotide,
H01CC,Anti-gonadotropin-releasing hormones,
H01CC01,Ganirelix,
H02,Corticosteroids for systemic use,
H02A,Corticosteroids for systemic use,
H02AB,Glucocorticoids,
H02AB02,Dexamethasone,
H02AB09,Hydrocortisone,
H05,Calcium homeostasis,
H05A,Parathyroid hormones,
H05AA,Parathyroid hormones,
H05AA02,Teriparatide,
H05AA03,Parathyroid hormone,
H05B,Anti-parathyroid hormones,
H05BA,Calcitonin preparations,
H05BA01,Calcitonin (salmon synthetic),
H05BX,Other anti-parathyroid agents,
H05BX01,Cinacalcet,
J,General antiinfectives for systemic use,
J01,Antibacterials for systemic use,
J01A,Tetracyclines,
J01AA,Tetracyclines,
J01AA12,Tigecycline,
J01C,Beta-lactam antibacterials,
J01CE,Beta-lactamase sensitive penicillins,
J01CE08,Benzathine benzylpenicillin,
J01CR,Combinations of penicillins,
J01CR02,Amoxicillin and enzyme inhibitor,
J01CR05,Piperacillin and enzyme inhibitor,
J01D,Other beta-lactam antibacterials,
J01DC,Second-generation cephalosporins,
J01DC02,Cefuroxime,
J01DD,Third-generation cephalosporins,
J01DD02,Ceftazidime,
J01DD04,Ceftriaxone,
J01DF,Monobactams,
J01DF01,Aztreonam,
J01DH,Carbapenems,
J01DH02,Meropenem,
J01DH03,Ertapenem,
J01DH04,Doripenem,
J01DH51,Imipenem and enzyme inhibitor,
J01DI,Other cephalosporins,
J01DI01,Ceftobiprole medocaril,
J01DI02,Ceftaroline fosamil,
J01F,Macrolides and lincosamides,
J01FA,Macrolides,
J01FA15,Telithromycin,
J01G,Aminoglycoside antibacterials,
J01GB,Other aminoglycosides,
J01GB01,Tobramycin,
J01M,Quinolone antibacterials,
J01MA,Fluoroquinolones,
J01MA02,Ciprofloxacin,
J01MA09,Sparfloxacin,
J01MA13,Trovafloxacin,
J01MA14,Moxifloxacin,
J01MA16,Gatifloxacin,
J01X,Other antibacterials,
J01XA,Glycopeptide antibacterials,
J01XA02,Teicoplanin,
J01XA03,Telavancin,
J01XX,Other antibacterials,
J01XX09,Daptomycin,
J02,Antimycotics for systemic use,
J02A,Antimycotics for systemic use,
J02AC,Triazole derivatives,
J02AC01,Fluconazole,
J02AC03,Voriconazole,
J02AC04,Posaconazole,
J02AX,Other antimycotics for systemic use,
J02AX04,Caspofungin,
J02AX05,Micafungin,
J02AX06,Anidulafungin,
J05,Antivirals for systemic use,
J05A,Agents affecting the virus directly,
J05AB,Nucleosides,
J05AB01,Aciclovir,
J05AB04,Ribavirin,
J05AB06,Ganciclovir,
J05AB09,Famciclovir,
J05AB11,Valaciclovir,
J05AB12,Cidofovir,
J05AE,Protease inhibitors,
J05AE01,Saquinavir,
J05AE02,Indinavir,
J05AE03,Ritonavir,
J05AE04,Nelfinavir,
J05AE05,Amprenavir,
J05AE06,Lopinavir,
J05AE07,Fosamprenavir,
J05AE08,Atazanavir,
J05AE09,Tipranavir,
J05AE10,Darunavir,
J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,
J05AF04,Stavudine,
J05AF05,Lamivudine,
J05AF06,Abacavir,
J05AF07,Tenofovir disoproxil,
J05AF08,Adefovir dipivoxil,
J05AF09,Emtricitabine,
J05AF10,Entecavir,
J05AF11,Telbivudine,
J05AG,Non-nucleoside reverse transcriptase inhibitors,
J05AG01,Nevirapine,
J05AG03,Efavirenz,
J05AG04,Etravirine,
J05AG05,Rilpivirine,
J05AH,Neuraminidase inhibitors,
J05AH02,Oseltamivir,
J05AR,Antivirals for treatment of hiv infections,
J05AR01,Zidovudine and lamivudine,
J05AR02,Lamivudine and abacavir,
J05AR03,Tenofovir disoproxil and emtricitabine,
J05AR06,Emtricitabine,
J05AR08,Emtricitabine,
J05AX,Other antivirals,
J05AX07,Enfuvirtide,
J05AX08,Raltegravir,
J05AX09,Maraviroc,
J06,Immune sera and immunoglobulins,
J06B,Immunoglobulins,
J06BA,Immunoglobulins,
J06BA01,Immunoglobulins,
J06BA02,Immunoglobulins,
J06BB,Specific immunoglobulins,
J06BB04,Hepatitis B immunoglobulin,
J06BB16,Palivizumab,
J07,Vaccines,
J07A,Bacterial vaccines,
J07AE,Cholera vaccines,
J07AE01,Cholera,
J07AH,Meningococcal vaccines,
J07AH08,Meningococcus,
J07AL,Pneumococcal vaccines,
J07AL02,Pneumococcus,
J07AL52,Pneumococcus purified polysaccharides antigen and Haemophilus influenzae,
J07B,Viral vaccines,
J07BA,Encephalitis vaccines,
J07BA02,Encephalitis,
J07BB,Influenza vaccines,
J07BB01,Influenza,
J07BB02,Influenza,
J07BB03,Influenza,
J07BC,Hepatitis vaccines,
J07BC01,Hepatitis B,
J07BC20,Combinations,
J07BD,Measles vaccines,
J07BD52,Measles,
J07BD54,Measles,
J07BH,Rota virus diarrhea vaccines,
J07BH01,Rota virus,
J07BH02,Rota virus,
J07BK,Varicella zoster vaccines,
J07BK02,Zoster,
J07BL,Yellow fever vaccines,
J07BL01,Yellow fever,
J07BM,Papillomavirus vaccines,
J07BM01,Papillomavirus (human types 6,
     ,,
Papillomavirus (human types 16, 18),
J07BM02,Papillomavirus (human types 16,
J07C,Bacterial and viral vaccines,
J07CA,Bacterial and viral vaccines,
J07CA01,Diphtheria-poliomyelitis-tetanus,
J07CA05,Diphtheria-hepatitis B-pertussis-tetanus,
J07CA07,Diphtheria-hepatitis B-tetanus,
J07CA08,Hemophilus influenzae B and hepatitis B,
J07CA09,Diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B,
J07CA10,Typhoid-hepatitis A,
J07CA12,Diphtheria-pertussis-poliomyelitis-tetanus-hepatitis B,
M,Musculo-skeletal system,
M01,Antiinflammatory and antirheumatic products,
M01A,Antiinflammatory and antirheumatic products,
M01AC,Oxicams,
M01AC01,Piroxicam,
M01AC05,Lornoxicam,
M01AE,Propionic acid derivatives,
M01AE03,Ketoprofen,
M01AH,Coxibs,
M01AH02,Rofecoxib,
M01AH03,Valdecoxib,
M01AH04,Parecoxib,
M01AH05,Etoricoxib,
M01AH06,Lumiracoxib,
M01AX,Other antiinflammatory and antirheumatic agents,
M01AX05,Glucosamine,
M01AX17,Nimesulide,
M03,Muscle relaxants,
M03A,Muscle relaxants,
M03AX,Other muscle relaxants,
M03AX01,Botulinum toxin,
M03B,Muscle relaxants,
M03BA,Carbamic acid esters,
M03BA02,Carisoprodol,
M03BB,Oxazol-,
M03BB02,Chlormezanone,
M03BX,Other centrally acting agents,
M03BX04,Tolperisone,
M04,Antigout preparations,
M04A,Antigout preparations,
M04AA,Preparations inhibiting uric acid production,
M04AA03,Febuxostat,
M05,Drugs for treatment of bone diseases,
M05B,Drugs affecting bone structure and mineralization,
M05BA,Biphosphonates,
M05BA04,Alendronic acid,
M05BA06,Ibandronic acid,
M05BA08,Zoledronic acid,
M05BB,Bisphosphonates,
M05BB03,Alendronic acid and colecalciferol,
M05BC,Bone morphogenetic proteins,
M05BC01,Dibotermin alfa,
M05BC02,Eptotermin alfa,
M05BX,Other drugs affecting bone structure and mineralization,
M05BX03,Strontium ranelate,
M05BX04,Denosumab,
M09,Other drugs for disorders of the musculo-skeletal system,
M09A,Other drugs for disorders of the musculo-skeletal system,
M09AB,Enzymes,
M09AB02,Collagenase clostridium histolyticum,
M09AX,Other drugs for disorders of the musculo-skeletal system,
M09AX02,Chondrocytes,
N,Nervous system,
N01,Anesthetics,
N01A,Anesthetics,
N01AH,Opioid anesthetics,
N01AH01,Fentanyl,
N01B,Anesthetics,
N01BX,Other local anesthetics,
N01BX04,Capsaicin,
N02,Analgesics,
N02A,Opioids,
N02AB,Phenylpiperidine derivatives,
N02AB03,Fentanyl,
N02AX,Other opioids,
N02AX02,Tramadol,
N02B,Other analgesics and antipyretics,
N02BG,Other analgesics and antipyretics,
N02BG08,Ziconotide,
N02C,Antimigraine preparations,
N02CX,Other antimigraine preparations,
N02CX04,Sumatriptan,
N03,Antiepileptics,
N03A,Antiepileptics,
N03AF,Carboxamide derivatives,
N03AF03,Rufinamide,
N03AF04,Eslicarbazepine,
N03AG,Fatty acid derivatives,
N03AG04,Vigabatrin,
N03AX,Other antiepileptics,
N03AX09,Lamotrigine,
N03AX11,Topiramate,
N03AX12,Gabapentin,
N03AX14,Levetiracetam,
N03AX15,Zonisamide,
N03AX16,Pregabalin,
N03AX17,Stiripentol,
N03AX18,Lacosamide,
N03AX21,Retigabine,
N03AX22,Perampanel,
N04,Anti-parkinson drugs,
N04B,Dopaminergic agents,
N04BA,Dopa and dopa derivatives,
N04BA03,Levodopa,
N04BC,Dopamine agonists,
N04BC04,Ropinirole,
N04BC05,Pramipexole,
N04BC09,Rotigotine,
N04BD,Monoamine oxidase type B inhibitors,
N04BD02,Rasagiline,
N04BX,Other dopaminergic agents,
N04BX01,Tolcapone,
N04BX02,Entacapone,
N05,Psycholeptics,
N05A,Antipsychotics,
N05AE,Indole derivatives,
N05AE03,Sertindole,
N05AH,Diazepines,
N05AH02,Clozapine,
N05AH03,Olanzapine,
N05AH04,Quetiapine,
N05AH05,Asenapine,
N05AL,Benzamides,
N05AL06,Veralipride,
N05AX,Other antipsychotics,
N05AX08,Risperidone,
N05AX12,Aripiprazole,
N05AX13,Paliperidone,
N05C,Hypnotics and sedatives,
N05CD,Benzodiazepine derivatives,
N05CD08,Midazolam,
N05CF,Cyclopyrrolones,
N05CF03,Zaleplon,
N05CH,Melatonin receptor agonists,
N05CH01,Melatonin,
N05CM,Other hypnotics and sedatives,
N05CM18,Dexmedetomidine,
N06,Psychoanaleptics,
N06A,Antidepressants,
N06AB,Bicyclic derivatives,
N06AB03,Fluoxetine,
N06AB04,Citalopram,
N06AB05,Paroxetine,
N06AB06,Sertraline,
N06AB08,Fluvoxamine,
N06AB10,Escitalopram,
N06AX,Other antidepressants,
N06AX11,Mirtazapine,
N06AX12,Bupropion,
N06AX16,Venlafaxine,
N06AX17,Milnacipran,
N06AX18,Reboxetine,
N06AX21,Duloxetine,
N06AX22,Agomelatine,
N06B,Psychostimulants,
N06BA,Phenylethylamine derivatives,
N06BA04,Methylphenidate,
N06BA09,Atomoxetine,
N06BC,Xanthine derivatives,
N06BC01,Caffeine,
N06BC02,Propentofylline,
N06D,Anti-dementia drugs,
N06DA,Anticholinesterases,
N06DA03,Rivastigmine,
N06DX,Other anti-dementia drugs,
N06DX01,Memantine,
N07,Other nervous system drugs,
N07B,Drugs used in addictive disorders,
N07BA,Drugs used in nicotine dependence,
N07BA03,Varenicline,
N07BC,Drugs used in opioid dependence,
N07BC03,Levacetylmethadol,
N07BC51,Buprenorphine,
N07C,Antivertigo preparations,
N07CA,Antivertigo preparations,
N07CA01,Betahistine,
N07X,Other nervous system drugs,
N07XX,Other nervous system drugs,
N07XX02,Riluzole,
N07XX04,Hydroxybutyric acid,
N07XX05,Amifampridine,
N07XX07,Fampridine,
N07XX08,Tafamidis,
P,Antiparasitic products,
P01,Antiprotozoals,
P01B,Antimalarials,
P01BF,Artemisinin and derivatives,
P01BF05,Artenimol and piperaquine,
R,Respiratory system,
R01,Nasal preparations,
R01A,Nasal decongestants for topical use,
R01AD,Corticosteroids,
R01AD12,Flucticasone furoate,
R03,Anti-asthmatics,
R03A,Adrenergics,
R03AC,Selective beta-2-adrenoceptor agonists,
R03AC02,Salbutamol,
R03AC13,Formoterol,
R03AC18,Indacaterol,
R03AK,Adrenergics and other anti-asthmatics,
R03AK06,Salmeterol and other drugs for obstructive airway diseases,
R03B,Other anti-asthmatics,
R03BA,Glucocorticoids,
R03BA02,Budesonide,
R03BA08,Ciclesonide,
R03BB,Anticholinergics,
R03BB05,Aclidinium bromide,
R03D,Other anti-asthmatics for systemic use,
R03DC,Leukotriene receptor antagonists,
R03DC03,Montelukast,
R03DX,Other anti-asthmatics for systemic use,
R03DX05,Omalizumab,
R03DX07,Roflumilast,
R05,Cough and cold preparations,
R05C,Expectorants,
R05CB,Mucolytics,
R05CB16,Mannitol,
R05D,Antitussives,
R05DA,Opium alkaloids and derivatives,
R05DA08,Pholcodine,
R05DB,Antitussives chemically close to local anesthetics,
R05DB03,Clobutinol,
R06,Antihistamines for systemic use,
R06A,Antihistamines for systemic use,
R06AE,Piperazine derivatives,
R06AE07,Cetirizine,
R06AX,Other antihistamines for systemic use,
R06AX12,Terfenadine,
R06AX13,Loratadine,
R06AX25,Mizolastine,
R06AX27,Desloratadine,
R07,Other respiratory system products,
R07A,Other respiratory system products,
R07AX,Other respiratory system products,
R07AX01,Nitric oxide,
S,Sensory organs,
S01,Ophthalmologicals,
S01A,Antiinfectives,
S01AD,Antivirals,
S01AD08,Fomivirsen,
S01AX,Other antiinfectives,
S01AX12,Norfloxacin,
S01B,Antiinflammatory agents,
S01BA,Corticosteroids,
S01BA01,Dexamethasone,
S01BC,Antiinflammatory agents,
S01BC10,Nepafenac,
S01BC11,Bromfenac,
S01E,Antiglaucoma preparations and miotics,
S01EC,Carbonic anhydrase inhibitors,
S01EC04,Brinzolamide,
S01ED,Beta blocking agents,
S01ED51,Timolol,
S01EE,Prostaglandin analogues,
S01EE01,Latanoprost,
S01EE03,Bimatoprost,
S01EE04,Travoprost,
S01G,Decongestants and antiallergics,
S01GX,Other antiallergics,
S01GX06,Emedastine,
S01GX09,Olopatadine,
S01L,Ocular vascular disorder agents,
S01LA,Antineovascularisation agents,
S01LA01,Verteporfin,
S01LA03,Pegaptanib,
S01LA04,Ranibizumab,
V,Various,
V03,All other therapeutic products,
V03A,All other therapeutic products,
V03AB,Antidotes,
V03AB17,Methylthionine,
V03AB33,Hydroxocobalamin,
V03AB35,Sugammadex,
V03AC,Iron chelating agents,
V03AC02,Deferiprone,
V03AC03,Deferasirox,
V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,
V03AE02,Sevelamer,
V03AF,Detoxifying agents for antineoplastic treatment,
V03AF02,Dexrazoxane,
V03AF03,Calcium folinate,
V03AF07,Rasburicase,
V03AF08,Palifermin,
V03AX,Other therapeutic products,
V04,Diagnostic agents,
V04C,Other diagnostic agents,
V04CX,Other diagnostic agents,
V08,Contrast media,
V08C,Magnetic resonance imaging contrast media,
V08CA,Paramagnetic contrast media,
V08CA02,Gadoteric acid,
V08CA05,Mangafodipir,
V08CA06,Gadoversetamide,
V08CA08,Gadobenic acid,
V08CA09,Gadobutrol,
V08CA11,Gadofosveset,
V08D,Ultrasound contrast media,
V08DA,Ultrasound contrast media,
V08DA01,Microspheres of human albumin,
V08DA04,Microspheres of phospholipids,
V08DA05,Sulfur hexafluoride,
V09,Diagnostic radiopharmaceuticals,
V09A,Central nervous system,
V09AB,Iodine (<sup>123</sup>I) compounds,
V09AB03,Iodine ioflupane (<sup>123</sup>I),
V09H,Inflammation and infection detection,
V09HA,Technetium (<sup>99m</sup>Tc) compounds,
V09HA03,Technetium (<sup>99m</sup>Tc) antigranulocyte antibody,
V09HA04,Technetium (<sup>99m</sup>Tc) sulesomab,
V09I,Tumour detection,
V09IA,Technetium (<sup>99m</sup>Tc) compounds,
V09IA01,Technetium (<sup>99m</sup>Tc) antiCarcinoEmbryonicAntigen antibody,
V09IA02,Technetium (<sup>99m</sup>Tc) antimelanoma antibody,
V09IA05,Technetium (<sup>99m</sup>Tc) depreotide,
V09IB,Indium (<sup>111</sup>In) compounds,
V09IB03,Indium (<sup>111</sup>In) antiovariumcarcinoma antibody,
V09IX,Other diagnostic radiopharmaceuticals for tumour detection,
V09IX04,Fludeoxyglucose (<sup>18</sup>F),
V10,Therapeutic radiopharmaceuticals,
V10B,Pain palliation (bone seeking agents),
V10BX,Various pain palliation radiopharmaceuticals,
V10BX02,Samarium (<sup>153</sup>Sm) lexidronam,
V10X,Other therapeutic radiopharmaceuticals,
V10XX,Various therapeutic radiopharmaceuticals,
V10XX02,Ibritumomab tiuxetan,
A01,Medel vid mun- och tandsjukdomar,
A01A,Medel vid mun- och tandsjukdomar,
A01AA,Medel mot karies,
A01AA01,Natriumfluorid,
A01AA02,Natriummonofluorofosfat,
A01AA03,Olaflur,
A01AA04,Tennfluorid,
A01AA30,Kombinationer,
A01AA51,Natriumfluorid komb.,
