id,text,parent,
A221,Pulmonary anthrax,,
A222,Gastrointestinal anthrax,,
A227,Anthrax sepsis,,
A228,Other forms of anthrax,,
A229,"Anthrax, unspecified",,
A23,Brucellosis,,
A230,Brucellosis due to Brucella melitensis,,
A231,Brucellosis due to Brucella abortus,,
A232,Brucellosis due to Brucella suis,,
A233,Brucellosis due to Brucella canis,,
A238,Other brucellosis,,
A239,"Brucellosis, unspecified",,
A24,Glanders and melioidosis,,
A240,Glanders,,
A241,Acute and fulminating melioidosis,,
A242,Subacute and chronic melioidosis,,
A243,Other melioidosis,,
A244,"Melioidosis, unspecified",,
A25,Rat-bite fevers,,
A250,Spirillosis,,
A251,Streptobacillosis,,
A259,"Rat-bite fever, unspecified",,
A26,Erysipeloid,,
A260,Cutaneous erysipeloid,,
A267,Erysipelothrix sepsis,,
A268,Other forms of erysipeloid,,
A269,"Erysipeloid, unspecified",,
A27,Leptospirosis,,
A270,Leptospirosis icterohaemorrhagica,,
A278,Other forms of leptospirosis,,
A279,"Leptospirosis, unspecified",,
A28,"Other zoonotic bacterial diseases, not elsewhere classified",,
A280,Pasteurellosis,,
A281,Cat-scratch disease,,
A282,Extraintestinal yersiniosis,,
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",,
A289,"Zoonotic bacterial disease, unspecified",,
A30,Leprosy [Hansen disease],,
A300,Indeterminate leprosy,,
A301,Tuberculoid leprosy,,
A302,Borderline tuberculoid leprosy,,
A303,Borderline leprosy,,
A304,Borderline lepromatous leprosy,,
A305,Lepromatous leprosy,,
A308,Other forms of leprosy,,
A309,"Leprosy, unspecified",,
A31,Infection due to other mycobacteria,,
A310,Pulmonary mycobacterial infection,,
A311,Cutaneous mycobacterial infection,,
A318,Other mycobacterial infections,,
A319,"Mycobacterial infection, unspecified",,
A32,Listeriosis,,
A320,Cutaneous listeriosis,,
A321,Listerial meningitis and meningoencephalitis,,
A327,Listerial sepsis,,
A328,Other forms of listeriosis,,
A329,"Listeriosis, unspecified",,
A33,Tetanus neonatorum,,
A339,Stelkramp hos nyfödd,,
A34,Obstetrical tetanus,,
A349,Obstetrisk stelkramp,,
A35,Other tetanus,,
A359,Annan stelkramp,,
A36,Diphtheria,,
A360,Pharyngeal diphtheria,,
A361,Nasopharyngeal diphtheria,,
A362,Laryngeal diphtheria,,
A363,Cutaneous diphtheria,,
A368,Other diphtheria,,
A369,"Diphtheria, unspecified",,
A37,Whooping cough,,
A370,Whooping cough due to Bordetella pertussis,,
A371,Whooping cough due to Bordetella parapertussis,,
A378,Whooping cough due to other Bordetella species,,
A379,"Whooping cough, unspecified",,
A38,Scarlet fever,,
A389,Scharlakansfeber,,
A39,Meningococcal infection,,
A390,Meningococcal meningitis,,
A391,Waterhouse-Friderichsen syndrome,,
A392,Acute meningococcaemia,,
A393,Chronic meningococcaemia,,
A394,"Meningococcaemia, unspecified",,
A395,Meningococcal heart disease,,
A398,Other meningococcal infections,,
A399,"Meningococcal infection, unspecified",,
A40,Streptococcal sepsis,,
A400,"Sepsis due to streptococcus, group A",,
A401,"Sepsis due to streptococcus, group B",,
A402,"Sepsis due to streptococcus, group D",,
A403,Sepsis due to Streptococcus pneumoniae,,
A408,Other streptococcal sepsis,,
A409,"Streptococcal sepsis, unspecified",,
A41,Other sepsis,,
A410,Sepsis due to Staphylococcus aureus,,
A411,Sepsis due to other specified staphylococcus,,
A412,Sepsis due to unspecified staphylococcus,,
A413,Sepsis due to Haemophilus influenzae,,
A414,Sepsis due to anaerobes,,
A415,Sepsis due to other Gram-negative organisms,,
A418,Other specified sepsis,,
A419,"Sepsis, unspecified",,
A42,Actinomycosis,,
A420,Pulmonary actinomycosis,,
A421,Abdominal actinomycosis,,
A422,Cervicofacial actinomycosis,,
A427,Actinomycotic sepsis,,
A428,Other forms of actinomycosis,,
A429,"Actinomycosis, unspecified",,
A43,Nocardiosis,,
A430,Pulmonary nocardiosis,,
A431,Cutaneous nocardiosis,,
A438,Other forms of nocardiosis,,
A439,"Nocardiosis, unspecified",,
A44,Bartonellosis,,
A440,Systemic bartonellosis,,
A441,Cutaneous and mucocutaneous bartonellosis,,
A448,Other forms of bartonellosis,,
A449,"Bartonellosis, unspecified",,
A46,Erysipelas,,
A469,Rosfeber,,
A48,"Other bacterial diseases, not elsewhere classified",,
A480,Gas gangrene,,
A481,Legionnaires disease,,
A482,Nonpneumonic Legionnaires disease [Pontiac fever],,
A483,Toxic shock syndrome,,
A484,Brazilian purpuric fever,,
A488,Other specified bacterial diseases,,
A49,Bacterial infection of unspecified site,,
A490,"Staphylococcal infection, unspecified site",,
A491,"Streptococcal infection, unspecified site",,
A492,"Haemophilus influenzae infection, unspecified site",,
A493,"Mycoplasma infection, unspecified site",,
A498,Other bacterial infections of unspecified site,,
A499,"Bacterial infection, unspecified",,
A50,Congenital syphilis,,
A500,"Early congenital syphilis, symptomatic",,
A501,"Early congenital syphilis, latent",,
A502,"Early congenital syphilis, unspecified",,
A503,Late congenital syphilitic oculopathy,,
A504,Late congenital neurosyphilis [juvenile neurosyphilis],,
A505,"Other late congenital syphilis, symptomatic",,
A506,"Late congenital syphilis, latent",,
A507,"Late congenital syphilis, unspecified",,
A509,"Congenital syphilis, unspecified",,
A51,Early syphilis,,
A510,Primary genital syphilis,,
A511,Primary anal syphilis,,
A512,Primary syphilis of other sites,,
A513,Secondary syphilis of skin and mucous membranes,,
A513A,Condyloma latum,,
A513B,Syfilitisk (sekundär) alopeci,,
A513C,Syfilitisk leukoderma,,
A513X,"Sekundär syfilis i hud och slemhinnor, ospecificerad",,
A514,Other secondary syphilis,,
A515,"Early syphilis, latent",,
A519,"Early syphilis, unspecified",,
A52,Late syphilis,,
A520,Cardiovascular syphilis,,
A521,Symptomatic neurosyphilis,,
A522,Asymptomatic neurosyphilis,,
A523,"Neurosyphilis, unspecified",,
A527,Other symptomatic late syphilis,,
A528,"Late syphilis, latent",,
A529,"Late syphilis, unspecified",,
A53,Other and unspecified syphilis,,
A530,"Latent syphilis, unspecified as early or late",,
A539,"Syphilis, unspecified",,
A54,Gonococcal infection,,
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,,
A540A,Gonokockcervicit UNS,,
A540C,Gonokockuretrit UNS,,
A540D,Gonokockvulvovaginit UNS,,
A540E,Gonokockbalanit (akut) (kronisk),,
A540F,Gonokockorsakad lymfangit i penis,,
A540X,"Gonokockinfektion i könsorgan och nedre urinvägar utan abscess, ospecificerad",,
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,,
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,,
A543,Gonococcal infection of eye,,
A544,Gonococcal infection of musculoskeletal system,,
A545,Gonococcal pharyngitis,,
A546,Gonococcal infection of anus and rectum,,
A548,Other gonococcal infections,,
A549,"Gonococcal infection, unspecified",,
A55,Chlamydial lymphogranuloma (venereum),,
A559,Lymfogranulom orsakat av klamydia,,
A56,Other sexually transmitted chlamydial diseases,,
A560,Chlamydial infection of lower genitourinary tract,,
A560A,Klamydiacervicit,,
A560C,Klamydiauretrit,,
A560D,Klamydiavulvovaginit,,
A560X,"Klamydiainfektion i nedre delen av urin- och könsorganen, ospecificerad",,
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs,,
A562,"Chlamydial infection of genitourinary tract, unspecified",,
A563,Chlamydial infection of anus and rectum,,
A564,Chlamydial infection of pharynx,,
A568,Sexually transmitted chlamydial infection of other sites,,
A57,Chancroid,,
A579,Chankroid,,
A58,Granuloma inguinale,,
A589,Granuloma inguinale,,
A59,Trichomoniasis,,
A590,Urogenital trichomoniasis,,
A598,Trichomoniasis of other sites,,
A599,"Trichomoniasis, unspecified",,
A60,Anogenital herpesviral [herpes simplex] infection,,
A600,Herpesviral infection of genitalia and urogenital tract,,
A601,Herpesviral infection of perianal skin and rectum,,
A609,"Anogenital herpesviral infection, unspecified",,
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",,
A630,Anogenital (venereal) warts,,
A630A,Spetsiga kondylom,,
A630B,Platta kondylom,,
A630X,"Kondylom, ospecificerade",,
A638,Other specified predominantly sexually transmitted diseases,,
A64,Unspecified sexually transmitted disease,,
A649,Icke specificerad sexuellt överförd sjukdom,,
A65,Nonvenereal syphilis,,
A659,Icke venerisk syfilis,,
A66,Yaws,,
A660,Initial lesions of yaws,,
A661,Multiple papillomata and wet crab yaws,,
A662,Other early skin lesions of yaws,,
A663,Hyperkeratosis of yaws,,
A664,Gummata and ulcers of yaws,,
A665,Gangosa,,
A666,Bone and joint lesions of yaws,,
A667,Other manifestations of yaws,,
A668,Latent yaws,,
A669,"Yaws, unspecified",,
A67,Pinta [carate],,
A670,Primary lesions of pinta,,
A671,Intermediate lesions of pinta,,
A672,Late lesions of pinta,,
A673,Mixed lesions of pinta,,
A679,"Pinta, unspecified",,
A68,Relapsing fevers,,
A680,Louse-borne relapsing fever,,
A681,Tick-borne relapsing fever,,
A689,"Relapsing fever, unspecified",,
A69,Other spirochaetal infections,,
A690,Necrotizing ulcerative stomatitis,,
A691,Other Vincent infections,,
A692,Lyme disease,,
A698,Other specified spirochaetal infections,,
A699,"Spirochaetal infection, unspecified",,
A70,Chlamydia psittaci infection,,
A709,Infektion orsakad av Chlamydia psittaci,,
A71,Trachoma,,
A710,Initial stage of trachoma,,
A711,Active stage of trachoma,,
A719,"Trachoma, unspecified",,
A74,Other diseases caused by chlamydiae,,
A740,Chlamydial conjunctivitis,,
A748,Other chlamydial diseases,,
A749,"Chlamydial infection, unspecified",,
A75,Typhus fever,,
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,,
A751,Recrudescent typhus [Brill disease],,
A752,Typhus fever due to Rickettsia typhi,,
A753,Typhus fever due to Rickettsia tsutsugamushi,,
A759,"Typhus fever, unspecified",,
A77,Spotted fever [tick-borne rickettsioses],,
A770,Spotted fever due to Rickettsia rickettsii,,
A771,Spotted fever due to Rickettsia conorii,,
A772,Spotted fever due to Rickettsia sibirica,,
A773,Spotted fever due to Rickettsia australis,,
A778,Other spotted fevers,,
A779,"Spotted fever, unspecified",,
A78,Q fever,,
A789,Q-feber,,
A79,Other rickettsioses,,
A790,Trench fever,,
A791,Rickettsialpox due to Rickettsia akari,,
A798,Other specified rickettsioses,,
A799,"Rickettsiosis, unspecified",,
A80,Acute poliomyelitis,,
A800,"Acute paralytic poliomyelitis, vaccine-associated",,
A801,"Acute paralytic poliomyelitis, wild virus, imported",,
A802,"Acute paralytic poliomyelitis, wild virus, indigenous",,
A803,"Acute paralytic poliomyelitis, other and unspecified",,
A804,Acute nonparalytic poliomyelitis,,
A809,"Acute poliomyelitis, unspecified",,
A81,Atypical virus infections of central nervous system,,
A810,Creutzfeldt-Jakob disease,,
A811,Subacute sclerosing panencephalitis,,
A812,Progressive multifocal leukoencephalopathy,,
A818,Other atypical virus infections of central nervous system,,
A819,"Atypical virus infection of central nervous system, unspecified",,
A82,Rabies,,
A820,Sylvatic rabies,,
A821,Urban rabies,,
A829,"Rabies, unspecified",,
A83,Mosquito-borne viral encephalitis,,
A830,Japanese encephalitis,,
A831,Western equine encephalitis,,
A832,Eastern equine encephalitis,,
A833,St Louis encephalitis,,
A834,Australian encephalitis,,
A835,California encephalitis,,
A836,Rocio virus disease,,
A838,Other mosquito-borne viral encephalitis,,
A839,"Mosquito-borne viral encephalitis, unspecified",,
A84,Tick-borne viral encephalitis,,
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],,
A841,Central European tick-borne encephalitis,,
A848,Other tick-borne viral encephalitis,,
A849,"Tick-borne viral encephalitis, unspecified",,
A85,"Other viral encephalitis, not elsewhere classified",,
A850,Enteroviral encephalitis,,
A851,Adenoviral encephalitis,,
A852,"Arthropod-borne viral encephalitis, unspecified",,
A858,Other specified viral encephalitis,,
A86,Unspecified viral encephalitis,,
A869,Icke specificerad virusencefalit,,
A87,Viral meningitis,,
A870,Enteroviral meningitis,,
A870A,Meningit av Coxsackievirus,,
A870B,Meningit av Echovirus,,
A870W,Meningit orsakad av annat specificerat enterovirus,,
A871,Adenoviral meningitis,,
A872,Lymphocytic choriomeningitis,,
A878,Other viral meningitis,,
A879,"Viral meningitis, unspecified",,
A88,"Other viral infections of central nervous system, not elsewhere classified",,
A880,Enteroviral exanthematous fever [Boston exanthem],,
A881,Epidemic vertigo,,
A888,Other specified viral infections of central nervous system,,
A89,Unspecified viral infection of central nervous system,,
A899,Icke specificerad virusinfektion i centrala nervsystemet,,
A90,Dengue fever [classical dengue],,
A909,Denguefeber,,
A91,Dengue haemorrhagic fever,,
A919,Hemorragisk denguefeber,,
A92,Other mosquito-borne viral fevers,,
A920,Chikungunya virus disease,,
A921,"Onyong-nyong fever""",,
A922,Venezuelan equine fever,,
A923,West Nile virus infection,,
A924,Rift Valley fever,,
A928,Other specified mosquito-borne viral fevers,,
A929,"Mosquito-borne viral fever, unspecified",,
A93,"Other arthropod-borne viral fevers, not elsewhere classified",,
A930,Oropouche virus disease,,
A931,Sandfly fever,,
A932,Colorado tick fever,,
A938,Other specified arthropod-borne viral fevers,,
A94,Unspecified arthropod-borne viral fever,,
A949,Icke specificerad febersjukdom orsakad av virus överfört av leddjur,,
A95,Yellow fever,,
A950,Sylvatic yellow fever,,
A951,Urban yellow fever,,
A959,"Yellow fever, unspecified",,
A96,Arenaviral haemorrhagic fever,,
A960,Junin haemorrhagic fever,,
A961,Machupo haemorrhagic fever,,
A962,Lassa fever,,
A968,Other arenaviral haemorrhagic fevers,,
A969,"Arenaviral haemorrhagic fever, unspecified",,
A98,"Other viral haemorrhagic fevers, not elsewhere classified",,
A980,Crimean-Congo haemorrhagic fever,,
A981,Omsk haemorrhagic fever,,
A982,Kyasanur Forest disease,,
A983,Marburg virus disease,,
A984,Ebola virus disease,,
A985,Haemorrhagic fever with renal syndrome,,
A988,Other specified viral haemorrhagic fevers,,
A99,Unspecified viral haemorrhagic fever,,
A999,Icke specificerad hemorragisk febersjukdom orsakad av virus,,
B00,Herpesviral [herpes simplex] infections,,
B000,Eczema herpeticum,,
B001,Herpesviral vesicular dermatitis,,
B001A,Herpes labialis,,
B001B,Herpes facialis,,
B001W,"Vesikulär dermatit orsakad av herpes simplex-virus, annan lokalisation",,
B001X,"Vesikulär dermatit orsakad av herpes simplex-virus, ospecificerad lokalisation",,
B002,Herpesviral gingivostomatitis and pharyngotonsillitis,,
B003,Herpesviral meningitis,,
B004,Herpesviral encephalitis,,
B005,Herpesviral ocular disease,,
B007,Disseminated herpesviral disease,,
B008,Other forms of herpesviral infection,,
B009,"Herpesviral infection, unspecified",,
B01,Varicella [chickenpox],,
B010,Varicella meningitis,,
B011,Varicella encephalitis,,
B012,Varicella pneumonia,,
B018,Varicella with other complications,,
B019,Varicella without complication,,
B02,Zoster [herpes zoster],,
B020,Zoster encephalitis,,
B021,Zoster meningitis,,
B022,Zoster with other nervous system involvement,,
B023,Zoster ocular disease,,
B027,Disseminated zoster,,
B028,Zoster with other complications,,
B029,Zoster without complication,,
B03,Smallpox,,
B039,Smittkoppor,,
B04,Monkeypox,,
B049,Apkoppor,,
B05,Measles,,
B050,Measles complicated by encephalitis,,
B051,Measles complicated by meningitis,,
B052,Measles complicated by pneumonia,,
B053,Measles complicated by otitis media,,
B054,Measles with intestinal complications,,
B058,Measles with other complications,,
B059,Measles without complication,,
B06,Rubella [German measles],,
B060,Rubella with neurological complications,,
B068,Rubella with other complications,,
B069,Rubella without complication,,
B07,Viral warts,,
B079,Virusvårtor,,
B079A,Verruca vulgaris,,
B079B,Verruca filiformis,,
B079C,Verruca plana,,
B079D,Verruca plantaris,,
B079W,Andra virusvårtor,,
B079X,"Virusvårtor, ospecificerade",,
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",,
B080,Other orthopoxvirus infections,,
B080A,Ecthyma contagiosum,,
B080B,Falska kokoppor,,
B080C,Kokoppor,,
B080W,Annan och icke specificerad infektion orsakad av ortopoxvirus,,
B081,Molluscum contagiosum,,
B082,Exanthema subitum [sixth disease],,
B083,Erythema infectiosum [fifth disease],,
B084,Enteroviral vesicular stomatitis with exanthem,,
B085,Enteroviral vesicular pharyngitis,,
B088,Other specified viral infections characterized by skin and mucous membrane lesions,,
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,,
B099,Icke specificerad virusinfektion med hud- och slemhinneutslag,,
B15,Acute hepatitis A,,
B150,Hepatitis A with hepatic coma,,
B159,Hepatitis A without hepatic coma,,
B16,Acute hepatitis B,,
B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,,
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,,
B162,Acute hepatitis B without delta-agent with hepatic coma,,
B169,Acute hepatitis B without delta-agent and without hepatic coma,,
B17,Other acute viral hepatitis,,
B170,Acute delta-(super)infection of hepatitis B carrier,,
B171,Acute hepatitis C,,
B172,Acute hepatitis E,,
B178,Other specified acute viral hepatitis,,
B179,"Acute viral hepatitis, unspecified",,
B18,Chronic viral hepatitis,,
B180,Chronic viral hepatitis B with delta-agent,,
B180A,"Kronisk hepatit B med hepatit D (coinfection), normal lever",,
B180B,"Kronisk hepatit B med hepatit D (coinfection), ospecifik reaktiv hepatit",,
B180C,"Kronisk hepatit B med hepatit D (coinfection), kronisk persisterande hepatit (KPH)",,
B180D,"Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit (KAH)",,
B180E,"Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit med cirros",,
B180F,"Kronisk hepatit B med hepatit D (coinfection), fibros",,
B180G,"Kronisk hepatit B med hepatit D (coinfection), cirros",,
B180H,"Kronisk hepatit B med hepatit D (coinfection), steatos",,
B180W,"Kronisk hepatit B med hepatit D (coinfection), annat histologiskt fynd",,
B180X,"Kronisk hepatit B med hepatit D (coinfection), ej biopserad",,
B181,Chronic viral hepatitis B without delta-agent,,
B181A,"Kronisk hepatit B utan hepatit D, normal lever",,
B181B,"Kronisk hepatit B utan hepatit D, ospecifik reaktiv hepatit",,
B181C,"Kronisk hepatit B utan hepatit D, kronisk persisterande hepatit (KPH)",,
B181D,"Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit (KAH)",,
B181E,"Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit med cirros",,
B181F,"Kronisk hepatit B utan hepatit D, fibros",,
B181G,"Kronisk hepatit B utan hepatit D, cirros",,
B181H,"Kronisk hepatit B utan hepatit D, steatos",,
B181W,"Kronisk hepatit B utan hepatit D, annat histologiskt fynd",,
B181X,"Kronisk hepatit B utan hepatit D, ej biopserad",,
B182,Chronic viral hepatitis C,,
B182A,"Kronisk hepatit C, normal lever",,
B182B,"Kronisk hepatit C, ospecifik reaktiv hepatit",,
B182C,"Kronisk hepatit C, kroniskt persisterande hepatit (KPH)",,
B182D,"Kronisk hepatit C, kroniskt aktiv hepatit (KAH)",,
B182E,"Kronisk hepatit C, kronisk aktiv hepatit med cirros",,
B182F,"Kronisk hepatit C, fibros",,
B182G,"Kronisk hepatit C, cirros",,
B182H,"Kronisk hepatit C, steatos",,
B182W,"Kronisk hepatit C, annat histologiskt fynd",,
B182X,"Kronisk hepatit C, ej biopserad",,
B188,Other chronic viral hepatitis,,
B188A,"Annan specificerad kronisk virushepatit, normal lever",,
B188B,"Annan specificerad kronisk virushepatit, ospecifik reaktiv hepatit",,
B188C,"Annan specificerad kronisk virushepatit, kronisk persisterande hepatit (KPH)",,
B188D,"Annan specificerad kronisk virushepatit, kronisk aktiv hepatit (KAH)",,
B188E,"Annan specificerad kronisk virushepatit, kronisk aktiv hepatit med cirros",,
B188F,"Annan specificerad kronisk virushepatit, fibros",,
B188G,"Annan specificerad kronisk virushepatit, cirros",,
B188H,"Annan specificerad kronisk virushepatit, steatos",,
B188W,"Annan specificerad kronisk virushepatit, annat",,
B188X,"Annan specificerad kronisk virushepatit, ej biopserad",,
B189,"Chronic viral hepatitis, unspecified",,
B189A,"Kronisk virushepatit, ospecificerad, normal lever",,
B189B,"Kronisk virushepatit, ospecificerad, ospecifik reaktiv hepatit",,
B189C,"Kronisk virushepatit, ospecificerad, kronisk persisterande hepatit (KPH)",,
B189D,"Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit (KAH)",,
B189E,"Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit med cirros",,
B189F,"Kronisk virushepatit, ospecificerad, fibros",,
B189G,"Kronisk virushepatit, ospecificerad, cirros",,
B189H,"Kronisk virushepatit, ospecificerad, steatos",,
B189W,"Kronisk virushepatit, ospecificerad, annat histologiskt fynd",,
B189X,"Kronisk virushepatit, ospecificerad, ej biopserad",,
B19,Unspecified viral hepatitis,,
B190,Unspecified viral hepatitis with hepatic coma,,
B199,Unspecified viral hepatitis without hepatic coma,,
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,,
B200,HIV disease resulting in mycobacterial infection,,
B201,HIV disease resulting in other bacterial infections,,
B202,HIV disease resulting in cytomegaloviral disease,,
B203,HIV disease resulting in other viral infections,,
B204,HIV disease resulting in candidiasis,,
B205,HIV disease resulting in other mycoses,,
B206,HIV disease resulting in Pneumocystis jirovecii pneumonia,,
B207,HIV disease resulting in multiple infections,,
B208,HIV disease resulting in other infectious and parasitic diseases,,
B209,HIV disease resulting in unspecified infectious or parasitic disease,,
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,,
B210,HIV disease resulting in Kaposi sarcoma,,
B211,HIV disease resulting in Burkitt lymphoma,,
B212,HIV disease resulting in other types of non-Hodgkin lymphoma,,
B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",,
